PYNAM,PYCOMNAM,COMNAME,PYSPP,ITISSPP,VIMSCODE
PELIA MUTICA,CRYPTIC TEARDROP CRAB,NA,4.11E+14,NA,499
TANAIDAE,,NA,4.11E+14,NA,525
PINNIXA CHAETOPTERANA,TUBE PEA CRAB,NA,4.11E+14,NA,547
PORTUNUS SP,,NA,4.11E+14,NA,578
XANTHIDAE,MUD CRABS,NA,4.11E+14,NA,594
CANCER BOREALIS,JONAH CRAB,JONAH CRAB,4.11E+14,98678,600
GALATHEIDAE,SQUAT LOBSTERS,GALATHEID UNCL,4.11E+14,97964,602
LIMULUS POLYPHEMUS,HORSESHOE CRAB,HORSESHOE CRAB,4.14E+14,82703,603
LIBINIA EMARGINATA,PORTLY SPIDER CRAB,NA,4.11E+14,NA,605
PORTUNUS GIBBESII,IRIDESCENT SWIMMING CRAB,NA,4.11E+14,NA,607
PORTUNUS SPINICARPUS,LONGSPINE SWIMMING CRAB,NA,4.11E+14,NA,610
OVALIPES STEPHENSONI,COARSEHAND LADY CRAB,COARSEHAND LADY CRAB,4.11E+14,98715,611
OVALIPES OCELLATUS,LADY CRAB,LADY CRAB,4.11E+14,98714,612
CALAPPA SULCATA,YELLOW BOX CRAB,YELLOW BOX CRAB,4.11E+14,98343,613
CALLINECTES SAPIDUS,BLUE CRAB,BLUE CRAB,4.11E+14,98696,614
SQUILLA EMPUSA,,NA,4.11E+14,NA,621
EUCERAMUS PRAELONGUS,OLIVEPIT PORCELAIN CRAB,NA,4.11E+14,NA,624
CARCINUS MAENAS,GREEN CRAB,GREEN CRAB,4.11E+14,98734,626
ASTERIIDAE,,NA,6.11E+14,NA,650
ASTEROIDEA,SEA STARS,STARFISH,6.11E+14,156862,651
AXIUS SP LARVAE,AXIUS LARVAE,NA,4.11E+14,NA,653
CANCER IRRORATUS,ATLANTIC ROCK CRAB,ATLANTIC ROCK CRAB,4.11E+14,98679,656
DECAPODA,DECAPOD,NA,4.11E+14,NA,675
ASTERIAS SP,,NA,6.11E+14,NA,700
PINNIXA SP,,NA,4.11E+14,NA,833
PORTUNIDAE,SWIMMING CRABS,SWIMMING CRAB UNCL,4.11E+14,98689,839
ASTROPECTEN SP,ASTROPECTEN SP,NA,6.11E+14,NA,845
ARENAEUS CRIBRARIUS,SPECKLED SWIMMING CRAB,SPECKLED SWIMMING CRAB,4.11E+14,98691,848
CALAPPIDAE,BOX CRABS,BOX CRAB UNCL,4.11E+14,98340,860
CTENODISCUS CRISPATUS,MUD STAR,NA,6.11E+14,NA,862
HEPATUS EPHELITICUS,CALICO BOX CRAB,CALICO BOX CRAB,4.11E+14,98348,865
PERSEPHONA MEDITERRANEA,MOTTLED PURSE CRAB,NA,4.11E+14,NA,870
PORTUNUS SAYI,SARGASSUM SWIMMING CRAB,NA,4.11E+14,NA,875
SCYLLARIDAE,SLIPPER LOBSTERS,NA,4.11E+14,NA,876
PINNIXA SAYANA,,NA,4.11E+14,NA,927
SQUILLA SP,,NA,4.11E+14,NA,960
DECAPODA CRAB ZOEA,CRAB ZOEA,NA,4.11E+14,NA,973
MUNIDA IRIS,,NA,4.11E+14,NA,990
STOMATOPODA LARVAE,MANTIS SHRIMPS LARVAE,NA,4.11E+14,NA,1052
DECAPODA CRAB MEGALOPA,CRAB MEGALOP,NA,4.11E+14,NA,1054
HETEROCRYPTA GRANULATA,SMOOTH ELBOW CRAB,NA,4.11E+14,NA,1064
PANDALUS SP LARVAE,PANDANLUS LARVAE,NA,4.11E+14,NA,1077
CALAPPA FLAMMEA,FLAME BOX CRAB,FLAME BOX CRAB,4.11E+14,98342,1079
ALBUNEA SP,,NA,4.11E+14,NA,1080
STOMATOPODA,MANTIS SHRIMPS,MANTIS SHRIMPS,4.11E+14,99143,1094
STOMATOPODA,MANTIS SHRIMPS,MANTIS SHRIMP UNCL,4.11E+14,99140,1094
PINNOTHERES SP,,NA,4.11E+14,NA,1108
LEUCOSIIDAE,PURSE CRABS,NA,4.11E+14,NA,1128
ACANTHOCARPUS ALEXANDRI,GLADIATOR BOX CRAB,GLADIATOR BOX CRAB,4.11E+14,98355,1167
PORCELLANIDAE,PORCELAIN CRABS,NA,4.11E+14,NA,1170
HYAS COARCTATUS,ARCTIC LYRE CRAB,NA,4.11E+14,NA,1174
DECAPODA SHRIMP LARVAE,DECAPODA SHRIMP LARVAE,NA,4.11E+14,NA,5011
CANCER SP,,NA,4.11E+14,NA,5016
PINNIXA CYLINDRICA,,NA,4.11E+14,NA,5023
