PYNAM,PYCOMNAM,COMNAME,PYSPP,ITISSPP,VIMSCODE
LIBINIA SP,,NA,4.11E+14,NA,5026
DECAPODA CRAB,CRAB,NA,4.11E+14,NA,5035
EURYPANOPEUS DEPRESSUS,FLATBACKED MUD CRAB,NA,4.11E+14,NA,5941
PANOPEUS HERBSTII,ATLANTIC MUD CRAB,NA,4.11E+14,NA,5942
DECAPODA EGGS,DECAPOD EGGS,NA,4.11E+14,NA,NA
DECAPODA LARVAE,DECAPOD LARVAE,NA,4.11E+14,NA,NA
DECAPODA CRAB EGGS,CRAB EGGS,NA,4.11E+14,NA,NA
DECAPODA CRAB LARVAE,CRAB LARVAE,NA,4.11E+14,NA,NA
CALAPPA SP,,NA,4.11E+14,NA,NA
CANCRIDAE,ROCK CRABS,CANCER CRAB UNCL,4.11E+14,98670,NA
CANCER SP LARVAE,CANCER LARVAE,NA,4.11E+14,NA,NA
CANCER SP ZOEA,CANCER ZOEA,NA,4.11E+14,NA,NA
CANCER SP MEGALOPA,CANCER MEGALOPA,NA,4.11E+14,NA,NA
MUNIDA SP,,NA,4.11E+14,NA,NA
MUNIDA IRRASA,,NA,4.11E+14,NA,NA
MUNIDA VALIDA,,NA,4.11E+14,NA,NA
MUNIDOPSIS SP,,NA,4.11E+14,NA,NA
GERYON SP,,NA,4.11E+14,NA,NA
GERYON QUINQUEDENS,RED DEEPSEA CRAB,NA,4.11E+14,NA,NA
HOMARUS AMERICANUS LARVAE,AMERICAN LOBSTER LARVAE,NA,4.11E+14,NA,NA
HOMARUS AMERICANUS EGGS,AMERICAN LOBSTER EGGS,NA,4.11E+14,NA,NA
PERSEPHONA SP,,NA,4.11E+14,NA,NA
LITHODIDAE,STONE AND KING CRABS,NA,4.11E+14,NA,NA
LITHODES MAJA,NORTHERN STONE CRAB,NORTHERN STONE CRAB,4.11E+14,97943,NA
MAJIDAE,SPIDER CRABS,SPIDER CRAB UNCL,4.11E+14,98417,NA
CHIONOECETES OPILIO,SNOW CRAB,SNOW CRAB,4.11E+14,98428,NA
EUPROGNATHA RASTELLIFERA,,NA,4.11E+14,NA,NA
HYAS SP,,NA,4.11E+14,NA,NA
HYAS ARANEUS,ATLANTIC LYRE CRAB,NA,4.11E+14,NA,NA
STENOCIONOPS FURCATUS,FURCATE SPIDER CRAB,NA,4.11E+14,NA,NA
PAGURUS SP LARVAE,PAGURUS LARVAE,NA,4.11E+14,NA,NA
PAGURUS SP ZOEA,PAGURUS SP ZOEA,NA,4.11E+14,NA,NA
PARTHENOPIDAE,ELBOW CRABS,NA,4.11E+14,NA,NA
PARTHENOPE POURTALESII,SPINOUS ELBOW CRAB,NA,4.11E+14,NA,NA
PINNOTHERIDAE,PEA CRABS,NA,4.11E+14,NA,NA
PARAPINNIXA BOUVIERI,,NA,4.11E+14,NA,NA
BATHYNECTES LONGISPINA,BATHYAL SWIMMING CRAB,BATHYAL SWIMMING CRAB,4.11E+14,98694,NA
OVALIPES SP,OVALIPES SP,NA,4.11E+14,NA,NA
PILUMNUS SP,,NA,4.11E+14,NA,NA
PILUMNUS SAYI,SPINEBACK HAIRY CRAB,NA,4.11E+14,NA,NA
HIPPOIDEA,MOLE CRABS,NA,4.11E+14,NA,NA
ALBUNEA GIBBESII,SURF MOLE CRAB,NA,4.11E+14,NA,NA
SCYLLARUS SP,,NA,4.11E+14,NA,NA
PALICIDAE,STILT CRABS,NA,4.11E+14,NA,NA
PALINURA LARVAE,PHYLLOSOMA LARVAE,NA,4.11E+14,NA,NA
NEBALIACEA,,NA,4.11E+14,NA,NA
HETEROSQUILLA SP,,NA,4.11E+14,NA,NA
HETEROSQUILLA ARMATA,,NA,4.11E+14,NA,NA
PLATYSQUILLA ENODIS,,NA,4.11E+14,NA,NA
SQUILLA NEGLECTA,,NA,4.11E+14,NA,NA
ASTERIAS VULGARIS,BOREAL ASTERIAS,BOREAL ASTERIAS,6.11E+14,157219,NA
PEDICELLASTER TYPICUS,,NA,6.11E+14,NA,NA
