PYNAM,PYCOMNAM,COMNAME,PYSPP,ITISSPP,VIMSCODE
ARBACIA PUNCTULATA,PURPLE SEA URCHIN,NA,6.12E+14,NA,840
AMPHIPODA,,NA,4.11E+14,NA,841
ARGOPECTEN IRRADIANS,BAY SCALLOP,BAY SCALLOP,5.12E+14,79737,850
NUDIBRANCHIA,SEA SLUGS,NA,5.14E+14,NA,855
EMERITA TALPOIDA,ATLANTIC SAND CRAB,NA,4.11E+14,NA,864
DIOGENIDAE,LEFT-HANDED HERMIT CRABS,NA,4.11E+14,NA,869
CREPIDULA SP,,NA,5.14E+14,NA,881
MULINIA LATERALIS,DRAWF SURFCLAM,NA,5.12E+14,NA,882
HIRUDINEA,LEACHES,NA,2.11E+14,NA,883
GASTROPODA,SNAILS,NA,5.14E+14,NA,884
ANADARA TRANSVERSA,TRANSVERSE ARK,NA,5.12E+14,NA,886
TELLINA AGILIS,NORTHERN DRAWF-TELLIN,NA,5.12E+14,NA,887
NEMATODA,ROUND WORMS,NA,1.13E+14,NA,901
PECTINARIIDAE,,NA,2.14E+14,NA,906
CLIONE LIMACINA,NAKED SEA BUTTERFLY,NA,5.14E+14,NA,910
IDOTEA SP,,NA,4.11E+14,NA,912
BRYOZOA,BRYOZOANS,NA,7.00E+14,NA,915
PAGUROIDEA,HERMIT CRABS,HERMIT CRAB UNCL,4.11E+14,206947,917
EDOTEA SP,,NA,4.11E+14,NA,918
AMPHIOPLUS ABDITA,,NA,6.13E+14,NA,920
CHAETOPTERIDAE,,NA,2.14E+14,NA,926
CYMOTHOIDAE,,NA,4.11E+14,NA,929
CAPITELLIDAE,,NA,2.14E+14,NA,932
TURBELLARIA,PLANARIANS,NA,7.30E+13,NA,935
POLYDORA SP,,NA,2.14E+14,NA,945
ORBINIIDA,,NA,2.14E+14,NA,946
SOLEN VIRIDIS,GREEN JACKKNIFE,NA,5.12E+14,NA,947
STENOTHOIDAE,,NA,4.11E+14,NA,948
SYLLIDAE,,NA,2.14E+14,NA,949
LEMBOS SP,,NA,4.11E+14,NA,962
DIASTYLIS QUADRISPINOSA,,NA,4.11E+14,NA,975
BATHYPOREIA SP,,NA,4.11E+14,NA,978
SYNIDOTEA SP,,NA,4.11E+14,NA,981
OPHELIIDAE,,NA,2.14E+14,NA,1001
AEGA PSORA,,NA,4.11E+14,NA,1004
HAUSTORIIDAE,,NA,4.11E+14,NA,1008
CAPRELLA SP,,NA,4.11E+14,NA,1009
AMPHIPOREIA VIRGINIANA,,NA,4.11E+14,NA,1012
POLITOLANA CONCHARUM,,NA,4.11E+14,NA,1025
ASYCHIS ELONGATA,,NA,2.14E+14,NA,1036
POLYNOIDAE,,NA,2.14E+14,NA,1037
ELASMOPUS LAEVIS,,NA,4.11E+14,NA,1041
PHYLLODOCIDAE,,NA,2.14E+14,NA,1045
ANTHOZOA,ANEMONES AND CORALS,NA,5.20E+13,NA,1047
ASTARTE CASTANEA,SMOOTH ASTARTE,SMOOTH ASTARTE,5.12E+14,80801,1051
MYTILIDAE,MUSSELS,NA,5.12E+14,NA,1053
NATICIDAE,"MOON SNAILS, SHARK EYES AND BABY-EARS",MOON SNAIL SHARK EYE AND BABY-EAR,5.14E+14,72878,1059
NUCULA PROXIMA,ATLANTIC NUTCLAM,NA,5.12E+14,NA,1063
SOLEMYA VELUM,ATLANTIC AWNINGCLAM,NA,5.12E+14,NA,1068
YOLDIA LIMATULA,FILE YOLDIA,NA,5.12E+14,NA,1070
ARABELLA IRICOLOR,,NA,2.14E+14,NA,1071
GONIADA SP,,NA,2.14E+14,NA,1078
ALBUNEA PARETII,BEACH MOLE CRAB,NA,4.11E+14,NA,1080
NASSARIUS SP,NASSARIUS SP,NA,5.14E+14,NA,1083
ECHIURA,ECHIURID WORMS,NA,3.30E+14,NA,1089
FORAMINIFERIDA,FORAMINIFERANS,NA,1.30E+13,NA,1090
PSAMMONYX NOBILIS,,NA,4.11E+14,NA,1102
TRAVISIA CARNEA,,NA,2.14E+14,NA,1103
YOLDIA SAPOTILLA,SHORT YOLDIA,NA,5.12E+14,NA,1104
ACANTHOCEPHALA,SPINY HEADED WORMS,NA,1.00E+14,NA,1105
GONIADA MACULATA,,NA,2.14E+14,NA,1107
SIPUNCULA,SIPUNCULANS,NA,3.10E+14,NA,1109
DIOPATRA CUPREA,,NA,2.14E+14,NA,1111
OPHELINA SP,,NA,2.14E+14,NA,1115
DINOCARDIUM ROBUSTUM,ATLANTIC GIANT COCKLE,NA,5.12E+14,NA,1118
CAUDINA ARENATA,RAT-TAILED CUCUMBER,NA,6.15E+14,NA,1129
LEPIDONOTUS SQUAMATUS,,NA,2.14E+14,NA,1130
EPITONIUM SP,,NA,5.14E+14,NA,1158
CIRRIPEDIA,BARNACLES,NA,4.11E+14,NA,1163
ECHINOIDEA,SEA URCHINS AND SAND DOLLARS,SEA URCHIN AND SAND DOLLAR UNCL,6.12E+14,157821,1169
NEOGASTROPODA,,NA,5.14E+14,NA,1184
CALLIOPIUS LAEVIUSCULUS,,NA,4.11E+14,NA,1206
AMPHARETIDAE,,NA,2.14E+14,NA,1208
BIVALVIA,BIVALVE MOLLUSKS,NA,5.12E+14,NA,5003
CEREBRATULUS SP,,NA,9.10E+13,NA,5009
GAMMARUS MUCRONATUS,,NA,4.11E+14,NA,5019
EDOTEA TRILOBA,,NA,4.11E+14,NA,5020
ANACHIS SP,,NA,5.14E+14,NA,5027
MOLLUSCA,MOLLUSKS,"MOLLUSKS,UNC",5.10E+14,69458,5036
BIVALVIA,BIVALVE MOLLUSKS,NA,5.12E+14,NA,5039
PAGURUS LONGICARPUS,LONGWRIST HERMIT,NA,4.11E+14,NA,7581
PAGURUS POLLICARIS,FLATCLAW HERMIT,NA,4.11E+14,NA,7582
HIPPOMEDON SP,,NA,4.11E+14,NA,NA
LEPTOCHEIRUS SP,,NA,4.11E+14,NA,NA
ASCIDIA SP,,NA,7.61E+14,NA,NA
CHAETOZONE SP,,NA,2.14E+14,NA,NA
CHONE SP,,NA,2.14E+14,NA,NA
DIASTYLIS SP,,NA,4.11E+14,NA,NA
EUDORELLA SP,,NA,4.11E+14,NA,NA
HYPERIA SP,,NA,4.11E+14,NA,NA
MALDANE SP,,NA,2.14E+14,NA,NA
MELPHIDIPPA SP,,NA,4.11E+14,NA,NA
OPHIURIDA,,NA,6.13E+14,NA,NA
PHOXOCEPHALUS SP,,NA,4.11E+14,NA,NA
PODOCEROPSIS SP,,NA,4.11E+14,NA,NA
TEREBELLIDA,,NA,2.14E+14,NA,NA
ENSIS SP,ENSIS SP,NA,5.12E+14,NA,NA
ARGOPECTEN IRRADIANS SHELL,BAY SCALLOP SHELL,NA,5.12E+14,NA,NA
PAGURIDAE,RIGHT-HANDED HERMIT CRABS,NA,4.11E+14,NA,NA
PLATYHELMINTHES,FLAT WORMS,NA,7.00E+13,NA,NA
STENOTHOE SP,,NA,4.11E+14,NA,NA
SYLLIDES SP,,NA,2.14E+14,NA,NA
OPHELIA SP,,NA,2.14E+14,NA,NA
PHYLLODOCIDA,,NA,2.14E+14,NA,NA
SOLEMYIDAE,AWNINGCLAMS,NA,5.12E+14,NA,NA
ECHIURIDAE,,NA,3.31E+14,NA,NA
PSAMMONYX SP,,NA,4.11E+14,NA,NA
LEPIDONOTUS SP,,NA,2.14E+14,NA,NA
ECHINACEA,TRUE SEA URCHINS,NA,6.12E+14,NA,NA
AMPHARETE SP,,NA,2.14E+14,NA,NA
BIVALVIA SIPHON,BIVALVE SIPHON,NA,5.12E+14,NA,NA
ACANTHODORIS PILOSA,HAIRY SPINY DORIS,NA,5.14E+14,NA,NA
ACANTHOHAUSTORIUS MILLSI,,NA,4.11E+14,NA,NA
ACANTHOHAUSTORIUS SP,,NA,4.11E+14,NA,NA
ACANTHOHAUSTORIUS SPINOSUS,,NA,4.11E+14,NA,NA
ACANTHONOTOZOMA SERRATUM,,NA,4.11E+14,NA,NA
ACANTHONOTOZOMA SP,,NA,4.11E+14,NA,NA
ACESTE SP,,NA,6.12E+14,NA,NA
ACHELIA SPINOSA,,NA,4.12E+14,NA,NA
ACMAEIDAE,LIMPETS,NA,5.14E+14,NA,NA
ADALARIA SP,,NA,5.14E+14,NA,NA
AEGIDAE,,NA,4.11E+14,NA,NA
AEGINELLA SPINOSA,,NA,4.11E+14,NA,NA
AEOLIDIA SP,,NA,5.14E+14,NA,NA
AEOLIDIIDAE,,NA,5.14E+14,NA,NA
AEQUIPECTEN GLYPTUS,RED-RIBBED SCALLOP,NA,5.12E+14,NA,NA
AGLAOPHAMUS SP,,NA,2.14E+14,NA,NA
AGLAOPHAMUS VERRILLI,,NA,2.14E+14,NA,NA
ALCIOPIDAE,,NA,2.14E+14,NA,NA
ALENTIANA AURANTIACA,,NA,2.14E+14,NA,NA
AMPELISCA DECLIVITATIS,,NA,4.11E+14,NA,NA
AMPELISCA ESCHRICHTI,,NA,4.11E+14,NA,NA
AMPELISCA MACROCEPHALA,,NA,4.11E+14,NA,NA
AMPELISCA SPINIPES,,NA,4.11E+14,NA,NA
AMPELISCA VERRILLI,,NA,4.11E+14,NA,NA
AMPELISCIDAE,,NA,4.11E+14,NA,NA
AMPHARETE ACUTIFRONS,,NA,2.14E+14,NA,NA
AMPHICTEIS GUNNERI,,NA,2.14E+14,NA,NA
AMPHILIMNA OLIVACEA,,NA,6.13E+14,NA,NA
AMPHILOCHIDAE,,NA,4.11E+14,NA,NA
AMPHINOMIDAE,FIREWORMS,NA,2.14E+14,NA,NA
AMPHIODIA SP,,NA,6.13E+14,NA,NA
AMPHIOPLUS SP,,NA,6.13E+14,NA,NA
AMPHIPHOLIS SP,,NA,6.13E+14,NA,NA
AMPHIPODA TUBES,AMPHIPOD TUBES,NA,4.11E+14,NA,NA
AMPHIPOREIA GIGANTEA,,NA,4.11E+14,NA,NA
AMPHIPOREIA LAWRENCIANA,,NA,4.11E+14,NA,NA
AMPHIPOREIA SP,,NA,4.11E+14,NA,NA
AMPHITRITE JOHNSTONI,,NA,2.14E+14,NA,NA
AMPHITRITE SP,,NA,2.14E+14,NA,NA
AMPHIURA SP,,NA,6.13E+14,NA,NA
AMPHIURIDAE,,NA,6.13E+14,NA,NA
AMPITHOE RUBRICATA,,NA,4.11E+14,NA,NA
AMPITHOE SP,,NA,4.11E+14,NA,NA
ANATOMA CRISPATA,CRISPATE SCISSURELLE,NA,5.14E+14,NA,NA
ANEMONIA SARGASSENSIS,SARGASSUM ANEMONE,NA,5.22E+13,NA,NA
ANOMIA SP,,NA,5.12E+14,NA,NA
ANONYX SP,,NA,4.11E+14,NA,NA
ANTHURIDAE,,NA,4.11E+14,NA,NA
ANTINOELLA ANGUSTA,,NA,2.14E+14,NA,NA
ANTINOELLA SP,,NA,2.14E+14,NA,NA
APHRODITIDAE,,NA,2.14E+14,NA,NA
APLACOPHORA,SOLENOGASTERS,NA,5.11E+14,NA,NA
APLYSIIDAE,SEA HARES,NA,5.14E+14,NA,NA
APORRHAIS OCCIDENTALIS,AMERICAN PELICANFOOT,NA,5.14E+14,NA,NA
ARABELLIDAE,,NA,2.14E+14,NA,NA
ARCHIANNELIDA,,NA,2.14E+14,NA,NA
ARCTURIDAE,,NA,4.11E+14,NA,NA
ARICIDEA JEFFREYSI,,NA,2.14E+14,NA,NA
ARICIDEA QUADRILOBATA,,NA,2.14E+14,NA,NA
ARICIDEA SP,,NA,2.14E+14,NA,NA
ARRHIS PHYLLONYX,,NA,4.11E+14,NA,NA
ARTHROPODA,,NA,4.10E+14,NA,NA
ASABELLIDES OCULATA,,NA,2.14E+14,NA,NA
ASABELLIDES SP,,NA,2.14E+14,NA,NA
ASCHELMINTHES,ASCHELMINTHES,NA,1.10E+14,NA,NA
ASCIDIA CALLOSA,,NA,7.61E+14,NA,NA
ASCIDIIDAE,,NA,7.61E+14,NA,NA
ASELLUS SP,,NA,4.11E+14,NA,NA
ASPIDOSIPHON ALBUS,,NA,3.11E+14,NA,NA
ASPIDOSIPHON PARVULUS,,NA,3.11E+14,NA,NA
ASTARTE QUADRANS,SQUARISH ASTARTE,NA,5.12E+14,NA,NA
ASTARTE SP,,NA,5.12E+14,NA,NA
ASTARTE SP SHELL,ASTARTE SHELL,NA,5.12E+14,NA,NA
ASTARTE SP VISCERA,ASTARTE SP VISCERA,NA,5.12E+14,NA,NA
ASTARTE UNDATA,WAVY ASTARTE,NA,5.12E+14,NA,NA
ATYLIDAE,,NA,4.11E+14,NA,NA
ATYLUS SWAMMERDAMI,,NA,4.11E+14,NA,NA
AUTOLYTUS ALEXANDRI,,NA,2.14E+14,NA,NA
AUTOLYTUS SP,,NA,2.14E+14,NA,NA
BATEA CATHARINENSIS,,NA,4.11E+14,NA,NA
BATHYARCA PECTUNCULOIDES,COMB BATHYARK,NA,5.12E+14,NA,NA
BATHYARCA SP,,NA,5.12E+14,NA,NA
BATHYMEDON OBTUSIFRONS,,NA,4.11E+14,NA,NA
BATHYPOREIA PARKERI,,NA,4.11E+14,NA,NA
BATHYPOREIA QUODDYENSIS,,NA,4.11E+14,NA,NA
BIVALVIA LARVAE,BIVALVE LARVAE,NA,5.12E+14,NA,NA
BIVALVIA VISCERA,BIVALVE VISCERA,NA,5.12E+14,NA,NA
BODOTRIIDAE,,NA,4.11E+14,NA,NA
BOLOCERA TUEDIAE,,NA,5.22E+13,NA,NA
BOLTENIA SP,,NA,7.61E+14,NA,NA
BOPYRIDAE,,NA,4.11E+14,NA,NA
BOSTRICHOBRANCHUS PILULARIS,,NA,7.61E+14,NA,NA
BOSTRICHOBRANCHUS SP,,NA,7.61E+14,NA,NA
BRACHIOPODA,LAMP SHELLS,NA,7.40E+14,NA,NA
BRADA SP,,NA,2.14E+14,NA,NA
BRADA VILLOSA,,NA,2.14E+14,NA,NA
BUCCINIDAE,,"WHELK,TRUE,UNC",5.14E+14,73726,NA
BUCCINUM SP,,NA,5.14E+14,NA,NA
BUCCINUM SP EGGS,BUCCINUM EGGS,NA,5.14E+14,NA,NA
BUCCINUM SP VISCERA,,NA,5.14E+14,NA,NA
BUCCINUM UNDATUM,WAVED WHELK,WAVED WHELK,5.14E+14,73795,NA
BUCCINUM UNDATUM EGGS,WAVED WHELK EGGS,NA,5.14E+14,NA,NA
BUCCINUM UNDATUM VISCERA,WAVED WHELK VISCERA,NA,5.14E+14,NA,NA
BUGULA SP,,NA,7.01E+14,NA,NA
BUGULA TURRITA,,NA,7.01E+14,NA,NA
BYBLIS GAIMARDI,,NA,4.11E+14,NA,NA
BYBLIS SP,,NA,4.11E+14,NA,NA
CAECUM SP,,NA,5.14E+14,NA,NA
CALATHURA BRANCHIATA,,NA,4.11E+14,NA,NA
CALLIOPIIDAE,,NA,4.11E+14,NA,NA
CALLIOPIUS SP,,NA,4.11E+14,NA,NA
CARDIIDAE,COCKLES,NA,5.12E+14,NA,NA
CARDIIDAE SHELL,COCKLE SHELL,NA,5.12E+14,NA,NA
CATAPAGURUS SP,,NA,4.11E+14,NA,NA
CAVOLINIIDAE,,NA,5.14E+14,NA,NA
CERASTODERMA PINNULATUM,NORTHERN DRAWF-COCKLE,NA,5.12E+14,NA,NA
CERASTODERMA SP,,NA,5.12E+14,NA,NA
CERATOCEPHALE LOVENI,,NA,2.14E+14,NA,NA
CERIANTHEOPSIS AMERICANA,,NA,5.22E+13,NA,NA
CERIANTHIDAE,TUBE-DWELLING ANEMONES,NA,5.22E+13,NA,NA
CERIANTHIDAE TUBES,CERIANTHID TUBES,NA,5.22E+13,NA,NA
CERIANTHUS BOREALIS,,NA,5.22E+13,NA,NA
CERITHIIDAE,,NA,5.14E+14,NA,NA
CESTODA,TAPE WORMS,NA,7.10E+13,NA,NA
CHAETODERMA NITIDULUM,GLISTEN-WORM SOLENOGASTER,NA,5.11E+14,NA,NA
CHIRIDOTEA ARENICOLA,,NA,4.11E+14,NA,NA
CHIRIDOTEA CAECA,,NA,4.11E+14,NA,NA
CHIRIDOTEA NIGRESCENS,,NA,4.11E+14,NA,NA
CHITON TUBERCULATUS,WEST INDIAN GREEN CHITON,NA,5.11E+14,NA,NA
CHLAMYS ISLANDICA,ICELAND SCALLOP,ICELAND SCALLOP,5.12E+14,79619,NA
CHLAMYS ISLANDICA SHELL,ICELAND SCALLOP SHELL,NA,5.12E+14,NA,NA
CHLAMYS SP,,NA,5.12E+14,NA,NA
CIROLANA BOREALIS,,NA,4.11E+14,NA,NA
CIRRATULUS SP,,NA,2.14E+14,NA,NA
CIRRIFORMIA SP,,NA,2.14E+14,NA,NA
CIRRIPEDIA LARVAE,BARNACLE LARVAE,NA,4.11E+14,NA,NA
CIRROPHORUS SP,,NA,2.14E+14,NA,NA
CLINOCARDIUM CILIATUM,HAIRY COCKLE,NA,5.12E+14,NA,NA
CLYMENELLA SP,,NA,2.14E+14,NA,NA
CLYPEASTEROIDA,TRUE SAND DOLLARS,SAND DOLLAR UNCL,6.11E+14,157984,NA
COLUS SP,,NA,5.14E+14,NA,NA
CORAMBIDAE,,NA,5.14E+14,NA,NA
COROPHIIDAE,,NA,4.11E+14,NA,NA
COROPHIUM ACUTUM,,NA,4.11E+14,NA,NA
COROPHIUM INSIDIOSUM,,NA,4.11E+14,NA,NA
COSSURA SP,,NA,2.14E+14,NA,NA
CRENELLA GLANDULA,,NA,5.12E+14,NA,NA
CRENELLA SP,,NA,5.12E+14,NA,NA
CREPIDULA PLANA,EASTERN WHITE SLIPPERSNAIL,NA,5.14E+14,NA,NA
CRINOIDEA,SEA LILIES AND FEATHER STARS,NA,6.14E+14,NA,NA
CRUCIBULUM STRIATUM,STRIATE CUP-AND-SAUCER,NA,5.14E+14,NA,NA
CRUSTACEA EGGS,CRUSTACEAN EGGS,NA,4.11E+14,NA,NA
CUSPIDARIA SP,,NA,5.12E+14,NA,NA
CYCLASPIS VARIANS,,NA,4.11E+14,NA,NA
CYCLOCARDIA BOREALIS,NORTHERN CYCLOCARDIA,NORTHERN CYCLOCARDIA,5.12E+14,80744,NA
CYCLOCARDIA SP,,NA,5.12E+14,NA,NA
CYCLOPECTEN PUSTULOSUS,,NA,5.12E+14,NA,NA
CYCLOSTREMATIDAE,,NA,5.14E+14,NA,NA
DACRYDIUM SP,,NA,5.12E+14,NA,NA
