COMNAME,ITISSPP,SCINAME,SizeCat,SizeRange_cm,VIMSCODE,NM_Diet
FOURBEARD ROCKLING,164748,ENCHELYOPUS CIMBRIUS,S,<=20,197,N
FOURSPOT FLOUNDER,172739,PARALICHTHYS OBLONGUS,M,21-40,237,N
FOURSPOT FLOUNDER,172739,PARALICHTHYS OBLONGUS,S,<=20,237,N
GULF STREAM FLOUNDER,172719,CITHARICHTHYS ARCTIFRONS,S,<=20,247,N
HADDOCK,164744,MELANOGRAMMUS AEGLEFINUS,L,51-80,62,Y
HADDOCK,164744,MELANOGRAMMUS AEGLEFINUS,M,21-50,62,Y
HADDOCK,164744,MELANOGRAMMUS AEGLEFINUS,S,v20,62,Y
LITTLE SKATE,564130,LEUCORAJA ERINACEA,M,31-60,171,Y
LITTLE SKATE,564130,LEUCORAJA ERINACEA,S,v30,171,Y
LONGHORN SCULPIN,167320,MYOXOCEPHALUS OCTODECEMSPINOSUS,M,26-50,222,N
LONGHORN SCULPIN,167320,MYOXOCEPHALUS OCTODECEMSPINOSUS,S,<=25,222,N
NORTHERN KINGFISH,169276,MENTICIRRHUS SAXATILIS,M,21-50,13,N
NORTHERN SEAROBIN,166974,PRIONOTUS CAROLINUS,M,21-30,71,N
NORTHERN SEAROBIN,166974,PRIONOTUS CAROLINUS,S,<=20,71,N
OCEAN POUT,630979,ZOARCES AMERICANUS,S,<=30,227,N
OCEAN POUT,630979,ZOARCES AMERICANUS,L,>60,227,N
OCEAN POUT,630979,ZOARCES AMERICANUS,M,31-60,227,N
OFFSHORE HAKE,164793,MERLUCCIUS ALBIDUS,S,<20,262,N
OFFSHORE HAKE,164793,MERLUCCIUS ALBIDUS,M,21-40,262,N
POLLOCK,164727,POLLACHIUS VIRENS,M,21-50,47,Y
POLLOCK,164727,POLLACHIUS VIRENS,S,<=20,47,Y
RED HAKE,164730,UROPHYCIS CHUSS,S,<=20,15,N
RED HAKE,164730,UROPHYCIS CHUSS,M,21-40,15,N
ROSETTE SKATE,564136,LEUCORAJA GARMANI,S,<=30,172,N
ROSETTE SKATE,564136,LEUCORAJA GARMANI,M,31-60,172,N
SCUP,169182,STENOTOMUS CHRYSOPS,M,21-50,1,Y
SCUP,169182,STENOTOMUS CHRYSOPS,S,<=20,1,Y
SILVER HAKE,164791,MERLUCCIUS BILINEARIS,S,<20,6,Y
SMOOTH DOGFISH,160230,MUSTELUS CANIS,L,>80,163,Y
SMOOTH DOGFISH,160230,MUSTELUS CANIS,M,36-80,163,Y
SMOOTH SKATE,564151,MALACORAJA SENTA,S,<=30,NA,N
SMOOTH SKATE,564151,MALACORAJA SENTA,M,31-60,NA,N
SPINY DOGFISH,160617,SQUALUS ACANTHIAS,S,<36,167,Y
SPOT,169267,LEIOSTOMUS XANTHURUS,S,<=20,33,N
SPOTTED HAKE,164731,UROPHYCIS REGIA,S,<=20,70,N
STRIPED SEAROBIN,166975,PRIONOTUS EVOLANS,L,>30,72,N
STRIPED SEAROBIN,166975,PRIONOTUS EVOLANS,M,21-30,72,N
STRIPED SEAROBIN,166975,PRIONOTUS EVOLANS,S,<=20,72,N
SUMMER FLOUNDER,172735,PARALICHTHYS DENTATUS,S,<=20,3,Y
THORNY SKATE,564149,AMBLYRAJA RADIATA,L,61-80,184,N
THORNY SKATE,564149,AMBLYRAJA RADIATA,M,31-60,184,N
THORNY SKATE,564149,AMBLYRAJA RADIATA,S,<=30,184,N
WEAKFISH,169241,CYNOSCION REGALIS,S,<=25,7,Y
WHITE HAKE,164732,UROPHYCIS TENUIS,S,<=20,12,N
WINDOWPANE,172746,SCOPHTHALMUS AQUOSUS,M,21-40,63,Y
WINDOWPANE,172746,SCOPHTHALMUS AQUOSUS,S,<=20,63,Y
WINTER FLOUNDER,172905,PSEUDOPLEURONECTES AMERICANUS ,M,21-40,44,Y
WINTER FLOUNDER,172905,PSEUDOPLEURONECTES AMERICANUS ,L,41-70,44,Y
WINTER FLOUNDER,172905,PSEUDOPLEURONECTES AMERICANUS ,S,<=20,44,Y
WINTER SKATE,564145,LEUCORAJA OCELLATA,XL,>80,173,Y
WINTER SKATE,564145,LEUCORAJA OCELLATA,L,61-80,173,Y
WINTER SKATE,564145,LEUCORAJA OCELLATA,M,31-60,173,Y
WINTER SKATE,564145,LEUCORAJA OCELLATA,S,<=30,173,Y
WITCH FLOUNDER,172873,GLYPTOCEPHALUS CYNOGLOSSUS,M,21-40,24,Y
WITCH FLOUNDER,172873,GLYPTOCEPHALUS CYNOGLOSSUS,L,41-70,24,Y
WITCH FLOUNDER,172873,GLYPTOCEPHALUS CYNOGLOSSUS,S,<=20,24,Y
YELLOWTAIL FLOUNDER,172909,LIMANDA FERRUGINEA ,S,<=20,49,Y
YELLOWTAIL FLOUNDER,172909,LIMANDA FERRUGINEA ,M,21-40,49,Y
YELLOWTAIL FLOUNDER,172909,LIMANDA FERRUGINEA ,L,41-70,49,Y
